tracking_id,shipment_id,status,timestamp
52,98018c31,Order Placed,2025-12-21 02:00:00
53,98018c31,Picked Up,2025-12-23 00:00:00
54,5388cb87,Order Placed,2026-02-19 04:00:00
55,5388cb87,Cancelled,2026-02-20 00:00:00
56,75fdeedc,Order Placed,2025-12-19 04:00:00
57,75fdeedc,Picked Up,2025-12-21 00:00:00
58,cb35162b,Order Placed,2025-10-27 01:00:00
59,cb35162b,Picked Up,2025-10-28 00:00:00
60,cb35162b,In Transit,2025-10-29 00:00:00
61,cb35162b,Out for Delivery,2025-11-02 10:00:00
62,cb35162b,Delivered,2025-11-02 15:00:00
63,70ab87b1,Order Placed,2026-02-02 02:00:00
64,70ab87b1,Picked Up,2026-02-03 00:00:00
65,70ab87b1,In Transit,2026-02-04 00:00:00
66,70ab87b1,Out for Delivery,2026-02-07 10:00:00
67,70ab87b1,Delivered,2026-02-07 12:00:00
68,1da7633b,Order Placed,2025-12-28 03:00:00
69,1da7633b,Picked Up,2025-12-30 00:00:00
70,2f243f84,Order Placed,2026-02-20 01:00:00
71,2f243f84,Picked Up,2026-02-22 00:00:00
72,2f243f84,In Transit,2026-02-24 00:00:00
73,88d4b5b0,Order Placed,2025-09-24 03:00:00
74,88d4b5b0,Picked Up,2025-09-25 00:00:00
75,88d4b5b0,In Transit,2025-09-27 00:00:00
76,0150806d,Order Placed,2026-02-16 04:00:00
77,0150806d,Picked Up,2026-02-18 00:00:00
78,0150806d,In Transit,2026-02-19 00:00:00
79,b653f428,Order Placed,2026-02-08 03:00:00
80,b653f428,Cancelled,2026-02-09 00:00:00
81,d4b32ad9,Order Placed,2025-03-24 02:00:00
82,d4b32ad9,Picked Up,2025-03-26 00:00:00
83,d4b32ad9,In Transit,2025-03-28 00:00:00
84,7c6fbf90,Order Placed,2025-05-18 01:00:00
85,7c6fbf90,Picked Up,2025-05-20 00:00:00
86,7c6fbf90,In Transit,2025-05-22 00:00:00
87,7c6fbf90,Out for Delivery,2025-05-21 09:00:00
88,7c6fbf90,Delivered,2025-05-21 12:00:00
89,b725a531,Order Placed,2025-11-28 04:00:00
90,b725a531,Picked Up,2025-11-30 00:00:00
91,b725a531,In Transit,2025-12-01 00:00:00
92,b725a531,Out for Delivery,2025-12-03 10:00:00
93,b725a531,Delivered,2025-12-03 12:00:00
94,99bcfa0f,Order Placed,2025-07-31 04:00:00
95,99bcfa0f,Picked Up,2025-08-01 00:00:00
96,99bcfa0f,In Transit,2025-08-03 00:00:00
97,99bcfa0f,Out for Delivery,2025-08-01 08:00:00
98,99bcfa0f,Delivered,2025-08-01 13:00:00
99,926673ff,Order Placed,2025-09-11 02:00:00
100,926673ff,Picked Up,2025-09-13 00:00:00
101,926673ff,In Transit,2025-09-15 00:00:00
102,926673ff,Out for Delivery,2025-09-18 10:00:00
103,926673ff,Delivered,2025-09-18 18:00:00
104,5360bd91,Order Placed,2025-05-21 01:00:00
105,5360bd91,Picked Up,2025-05-22 00:00:00
106,5360bd91,In Transit,2025-05-24 00:00:00
107,f9eb20dd,Order Placed,2026-01-16 03:00:00
108,f9eb20dd,Cancelled,2026-01-18 00:00:00
109,5ce59627,Order Placed,2025-12-28 03:00:00
110,5ce59627,Cancelled,2025-12-31 00:00:00
111,5c004ed5,Order Placed,2025-06-12 02:00:00
112,5c004ed5,Picked Up,2025-06-14 00:00:00
113,5c004ed5,In Transit,2025-06-15 00:00:00
114,5c004ed5,Out for Delivery,2025-06-14 09:00:00
115,5c004ed5,Delivered,2025-06-14 14:00:00
116,faf295ba,Order Placed,2025-09-02 02:00:00
117,faf295ba,Picked Up,2025-09-03 00:00:00
118,faf295ba,In Transit,2025-09-04 00:00:00
119,faf295ba,Out for Delivery,2025-09-05 08:00:00
120,faf295ba,Delivered,2025-09-05 12:00:00
121,d015a3cd,Order Placed,2025-12-13 03:00:00
122,d015a3cd,Picked Up,2025-12-14 00:00:00
123,d015a3cd,In Transit,2025-12-16 00:00:00
124,84f5f682,Order Placed,2025-08-27 02:00:00
125,84f5f682,Picked Up,2025-08-28 00:00:00
126,84f5f682,In Transit,2025-08-30 00:00:00
127,84f5f682,Out for Delivery,2025-09-03 09:00:00
128,84f5f682,Delivered,2025-09-03 12:00:00
129,28ea13a6,Order Placed,2025-10-23 02:00:00
130,28ea13a6,Picked Up,2025-10-24 00:00:00
131,28ea13a6,In Transit,2025-10-25 00:00:00
132,4d94c023,Order Placed,2025-04-11 02:00:00
133,4d94c023,Picked Up,2025-04-13 00:00:00
134,4d94c023,In Transit,2025-04-15 00:00:00
135,ae9f5781,Order Placed,2025-04-04 03:00:00
136,ae9f5781,Picked Up,2025-04-05 00:00:00
137,ae9f5781,In Transit,2025-04-06 00:00:00
138,ae9f5781,Out for Delivery,2025-04-05 10:00:00
139,ae9f5781,Delivered,2025-04-05 15:00:00
140,5f422c14,Order Placed,2025-11-30 04:00:00
141,5f422c14,Picked Up,2025-12-02 00:00:00
142,d1c61971,Order Placed,2026-01-18 04:00:00
143,d1c61971,Cancelled,2026-01-21 00:00:00
144,a2d83006,Order Placed,2025-06-28 04:00:00
145,a2d83006,Picked Up,2025-06-30 00:00:00
146,a2d83006,In Transit,2025-07-01 00:00:00
147,a2d83006,Out for Delivery,2025-06-30 07:00:00
148,a2d83006,Delivered,2025-06-30 09:00:00
149,f6d3f887,Order Placed,2025-05-01 04:00:00
150,f6d3f887,Picked Up,2025-05-02 00:00:00
151,f6d3f887,In Transit,2025-05-04 00:00:00
152,13516238,Order Placed,2025-03-08 03:00:00
153,13516238,Picked Up,2025-03-09 00:00:00
154,5a21aa0e,Order Placed,2025-07-06 01:00:00
155,5a21aa0e,Picked Up,2025-07-08 00:00:00
156,833e5e42,Order Placed,2025-11-27 04:00:00
157,833e5e42,Picked Up,2025-11-28 00:00:00
158,833e5e42,In Transit,2025-11-29 00:00:00
159,833e5e42,Out for Delivery,2025-11-28 10:00:00
160,833e5e42,Delivered,2025-11-28 18:00:00
161,f361c8f4,Order Placed,2025-12-27 04:00:00
162,f361c8f4,Picked Up,2025-12-28 00:00:00
163,f361c8f4,In Transit,2025-12-30 00:00:00
164,d9f28eca,Order Placed,2025-12-22 03:00:00
165,d9f28eca,Picked Up,2025-12-24 00:00:00
166,d9f28eca,In Transit,2025-12-26 00:00:00
167,d9f28eca,Out for Delivery,2025-12-26 09:00:00
168,d9f28eca,Delivered,2025-12-26 16:00:00
169,14d3046f,Order Placed,2025-05-11 01:00:00
170,14d3046f,Picked Up,2025-05-12 00:00:00
171,14d3046f,In Transit,2025-05-13 00:00:00
172,02b2783a,Order Placed,2025-06-22 01:00:00
173,02b2783a,Picked Up,2025-06-23 00:00:00
174,02b2783a,In Transit,2025-06-24 00:00:00
175,eb15d213,Order Placed,2025-05-29 03:00:00
176,eb15d213,Picked Up,2025-05-31 00:00:00
177,4049fcd9,Order Placed,2026-02-14 01:00:00
178,4049fcd9,Picked Up,2026-02-15 00:00:00
179,4049fcd9,In Transit,2026-02-16 00:00:00
180,bbcf52a6,Order Placed,2025-09-16 04:00:00
181,bbcf52a6,Picked Up,2025-09-17 00:00:00
182,bbcf52a6,In Transit,2025-09-18 00:00:00
183,5ac419b1,Order Placed,2025-09-13 01:00:00
184,5ac419b1,Cancelled,2025-09-14 00:00:00
185,c2554924,Order Placed,2025-07-14 04:00:00
186,c2554924,Cancelled,2025-07-17 00:00:00
187,a7d4b17b,Order Placed,2026-01-16 02:00:00
188,a7d4b17b,Picked Up,2026-01-18 00:00:00
189,a7d4b17b,In Transit,2026-01-19 00:00:00
190,80b0ddbc,Order Placed,2025-06-02 02:00:00
191,80b0ddbc,Cancelled,2025-06-04 00:00:00
192,fa78d721,Order Placed,2026-01-29 02:00:00
193,fa78d721,Picked Up,2026-01-31 00:00:00
194,fa78d721,In Transit,2026-02-02 00:00:00
195,3dcfdc61,Order Placed,2025-07-27 01:00:00
196,3dcfdc61,Picked Up,2025-07-28 00:00:00
197,3dcfdc61,In Transit,2025-07-29 00:00:00
198,3dcfdc61,Out for Delivery,2025-07-30 09:00:00
199,3dcfdc61,Delivered,2025-07-30 14:00:00
200,84f53ed9,Order Placed,2026-01-02 03:00:00
201,84f53ed9,Picked Up,2026-01-03 00:00:00
202,2ddd7be8,Order Placed,2025-07-25 02:00:00
203,2ddd7be8,Picked Up,2025-07-26 00:00:00
204,2ddd7be8,In Transit,2025-07-28 00:00:00
205,2ddd7be8,Out for Delivery,2025-07-29 09:00:00
206,2ddd7be8,Delivered,2025-07-29 14:00:00
207,356f76ca,Order Placed,2025-04-14 01:00:00
208,356f76ca,Picked Up,2025-04-16 00:00:00
209,356f76ca,In Transit,2025-04-17 00:00:00
210,356f76ca,Out for Delivery,2025-04-16 10:00:00
211,356f76ca,Delivered,2025-04-16 13:00:00
212,8bed37c2,Order Placed,2025-07-27 01:00:00
213,8bed37c2,Picked Up,2025-07-28 00:00:00
214,8bed37c2,In Transit,2025-07-29 00:00:00
215,8bed37c2,Out for Delivery,2025-08-02 10:00:00
216,8bed37c2,Delivered,2025-08-02 12:00:00
217,b05d8487,Order Placed,2026-01-16 04:00:00
218,b05d8487,Picked Up,2026-01-17 00:00:00
219,b05d8487,In Transit,2026-01-19 00:00:00
220,9cd984ee,Order Placed,2026-01-28 01:00:00
221,9cd984ee,Picked Up,2026-01-29 00:00:00
222,c3a41111,Order Placed,2025-06-02 04:00:00
223,c3a41111,Cancelled,2025-06-04 00:00:00
224,ed72a077,Order Placed,2025-05-11 03:00:00
225,ed72a077,Picked Up,2025-05-13 00:00:00
226,df262a92,Order Placed,2025-05-25 03:00:00
227,df262a92,Cancelled,2025-05-28 00:00:00
228,b92f3895,Order Placed,2025-10-23 01:00:00
229,b92f3895,Picked Up,2025-10-25 00:00:00
230,b92f3895,In Transit,2025-10-27 00:00:00
231,c42766b6,Order Placed,2025-10-26 02:00:00
232,c42766b6,Picked Up,2025-10-28 00:00:00
233,c42766b6,In Transit,2025-10-30 00:00:00
234,bd99172d,Order Placed,2026-01-27 01:00:00
235,bd99172d,Picked Up,2026-01-29 00:00:00
236,9b5164a2,Order Placed,2025-07-28 03:00:00
237,9b5164a2,Cancelled,2025-07-29 00:00:00
238,662c72cf,Order Placed,2025-07-15 04:00:00
239,662c72cf,Cancelled,2025-07-16 00:00:00
240,2bdbaba2,Order Placed,2025-08-21 02:00:00
241,2bdbaba2,Picked Up,2025-08-23 00:00:00
242,2bdbaba2,In Transit,2025-08-25 00:00:00
243,702fc5e9,Order Placed,2026-02-21 02:00:00
244,702fc5e9,Picked Up,2026-02-22 00:00:00
245,702fc5e9,In Transit,2026-02-23 00:00:00
246,99122a7a,Order Placed,2025-10-20 02:00:00
247,99122a7a,Picked Up,2025-10-21 00:00:00
248,321d9e65,Order Placed,2025-09-25 03:00:00
249,321d9e65,Picked Up,2025-09-27 00:00:00
250,321d9e65,In Transit,2025-09-28 00:00:00
251,321d9e65,Out for Delivery,2025-10-01 10:00:00
252,321d9e65,Delivered,2025-10-01 12:00:00
253,1d586add,Order Placed,2026-01-14 02:00:00
254,1d586add,Cancelled,2026-01-15 00:00:00
255,f3cf0c74,Order Placed,2025-12-10 01:00:00
256,f3cf0c74,Picked Up,2025-12-11 00:00:00
257,f3cf0c74,In Transit,2025-12-12 00:00:00
258,f3cf0c74,Out for Delivery,2025-12-12 10:00:00
259,f3cf0c74,Delivered,2025-12-12 16:00:00
260,be26ce29,Order Placed,2026-01-06 04:00:00
261,be26ce29,Picked Up,2026-01-07 00:00:00
262,be26ce29,In Transit,2026-01-08 00:00:00
263,be26ce29,Out for Delivery,2026-01-07 06:00:00
264,be26ce29,Delivered,2026-01-07 11:00:00
265,f226d539,Order Placed,2025-03-24 02:00:00
266,f226d539,Picked Up,2025-03-25 00:00:00
267,f226d539,In Transit,2025-03-26 00:00:00
268,f226d539,Out for Delivery,2025-03-26 08:00:00
269,f226d539,Delivered,2025-03-26 16:00:00
270,9f3b7dc7,Order Placed,2025-05-21 03:00:00
271,9f3b7dc7,Picked Up,2025-05-23 00:00:00
272,9f3b7dc7,In Transit,2025-05-24 00:00:00
273,9f3b7dc7,Out for Delivery,2025-05-24 08:00:00
274,9f3b7dc7,Delivered,2025-05-24 14:00:00
275,06075c55,Order Placed,2026-02-20 02:00:00
276,06075c55,Picked Up,2026-02-22 00:00:00
277,06075c55,In Transit,2026-02-23 00:00:00
278,12464588,Order Placed,2025-04-09 03:00:00
279,12464588,Picked Up,2025-04-11 00:00:00
280,12464588,In Transit,2025-04-12 00:00:00
281,73d5e7c0,Order Placed,2025-04-22 02:00:00
282,73d5e7c0,Cancelled,2025-04-23 00:00:00
283,f48a4333,Order Placed,2025-07-18 02:00:00
284,f48a4333,Picked Up,2025-07-19 00:00:00
285,66c94911,Order Placed,2025-03-29 04:00:00
286,66c94911,Cancelled,2025-03-30 00:00:00
287,8b6624dc,Order Placed,2025-09-18 01:00:00
288,8b6624dc,Picked Up,2025-09-20 00:00:00
289,8b6624dc,In Transit,2025-09-21 00:00:00
290,380f62f3,Order Placed,2025-08-11 04:00:00
291,380f62f3,Picked Up,2025-08-13 00:00:00
292,380f62f3,In Transit,2025-08-15 00:00:00
293,380f62f3,Out for Delivery,2025-08-13 08:00:00
294,380f62f3,Delivered,2025-08-13 15:00:00
295,50dd30c7,Order Placed,2025-09-10 02:00:00
296,50dd30c7,Picked Up,2025-09-11 00:00:00
297,50dd30c7,In Transit,2025-09-13 00:00:00
298,50dd30c7,Out for Delivery,2025-09-17 07:00:00
299,50dd30c7,Delivered,2025-09-17 14:00:00
300,01f527c9,Order Placed,2025-08-16 01:00:00
301,01f527c9,Picked Up,2025-08-18 00:00:00
302,01f527c9,In Transit,2025-08-19 00:00:00
303,01f527c9,Out for Delivery,2025-08-22 07:00:00
304,01f527c9,Delivered,2025-08-22 14:00:00
305,100dcdf4,Order Placed,2026-01-17 01:00:00
306,100dcdf4,Cancelled,2026-01-19 00:00:00
307,8e8d0c12,Order Placed,2025-11-05 02:00:00
308,8e8d0c12,Picked Up,2025-11-06 00:00:00
309,8e8d0c12,In Transit,2025-11-07 00:00:00
310,8e8d0c12,Out for Delivery,2025-11-12 07:00:00
311,8e8d0c12,Delivered,2025-11-12 12:00:00
312,8442ebaf,Order Placed,2026-01-23 01:00:00
313,8442ebaf,Picked Up,2026-01-25 00:00:00
314,d76df88d,Order Placed,2025-12-24 03:00:00
315,d76df88d,Cancelled,2025-12-26 00:00:00
316,a08aea2e,Order Placed,2026-01-27 02:00:00
317,a08aea2e,Picked Up,2026-01-29 00:00:00
318,a08aea2e,In Transit,2026-01-31 00:00:00
319,a08aea2e,Out for Delivery,2026-01-30 09:00:00
320,a08aea2e,Delivered,2026-01-30 17:00:00
321,d495f39e,Order Placed,2025-09-10 02:00:00
322,d495f39e,Cancelled,2025-09-13 00:00:00
323,e600843a,Order Placed,2025-07-31 03:00:00
324,e600843a,Picked Up,2025-08-02 00:00:00
325,aef1c670,Order Placed,2026-01-16 01:00:00
326,aef1c670,Cancelled,2026-01-18 00:00:00
327,61f7105d,Order Placed,2025-07-09 03:00:00
328,61f7105d,Picked Up,2025-07-11 00:00:00
329,61f7105d,In Transit,2025-07-13 00:00:00
330,49bc42b0,Order Placed,2025-06-21 04:00:00
331,49bc42b0,Cancelled,2025-06-24 00:00:00
332,96e564ec,Order Placed,2025-06-18 03:00:00
333,96e564ec,Picked Up,2025-06-19 00:00:00
334,0825a77e,Order Placed,2025-06-25 03:00:00
335,0825a77e,Picked Up,2025-06-26 00:00:00
336,0825a77e,In Transit,2025-06-27 00:00:00
337,d571528f,Order Placed,2025-05-07 04:00:00
338,d571528f,Picked Up,2025-05-08 00:00:00
339,31a56078,Order Placed,2025-09-30 01:00:00
340,31a56078,Picked Up,2025-10-02 00:00:00
341,31a56078,In Transit,2025-10-03 00:00:00
342,2c729c01,Order Placed,2025-11-14 01:00:00
343,2c729c01,Cancelled,2025-11-17 00:00:00
344,50e4acd1,Order Placed,2025-06-08 01:00:00
345,50e4acd1,Picked Up,2025-06-09 00:00:00
346,50e4acd1,In Transit,2025-06-10 00:00:00
347,50e4acd1,Out for Delivery,2025-06-11 06:00:00
348,50e4acd1,Delivered,2025-06-11 14:00:00
349,31d76cec,Order Placed,2025-11-04 02:00:00
350,31d76cec,Picked Up,2025-11-06 00:00:00
351,31d76cec,In Transit,2025-11-07 00:00:00
352,57182fd6,Order Placed,2025-10-27 01:00:00
353,57182fd6,Picked Up,2025-10-28 00:00:00
354,1d22fb37,Order Placed,2025-09-06 03:00:00
355,1d22fb37,Picked Up,2025-09-08 00:00:00
356,1d22fb37,In Transit,2025-09-10 00:00:00
357,1524e743,Order Placed,2025-08-29 04:00:00
358,1524e743,Picked Up,2025-08-31 00:00:00
359,1524e743,In Transit,2025-09-01 00:00:00
360,b62eb4af,Order Placed,2025-09-13 04:00:00
361,b62eb4af,Picked Up,2025-09-14 00:00:00
362,b62eb4af,In Transit,2025-09-15 00:00:00
363,b62eb4af,Out for Delivery,2025-09-19 08:00:00
364,b62eb4af,Delivered,2025-09-19 11:00:00
365,5ed6a835,Order Placed,2025-07-06 02:00:00
366,5ed6a835,Picked Up,2025-07-08 00:00:00
367,5ed6a835,In Transit,2025-07-09 00:00:00
368,5ed6a835,Out for Delivery,2025-07-10 10:00:00
369,5ed6a835,Delivered,2025-07-10 12:00:00
370,4fb26f3e,Order Placed,2025-09-05 01:00:00
371,4fb26f3e,Picked Up,2025-09-06 00:00:00
372,4fb26f3e,In Transit,2025-09-07 00:00:00
373,8c2ec076,Order Placed,2025-11-14 02:00:00
374,8c2ec076,Cancelled,2025-11-16 00:00:00
375,67093ff1,Order Placed,2025-04-19 02:00:00
376,67093ff1,Picked Up,2025-04-21 00:00:00
377,67093ff1,In Transit,2025-04-22 00:00:00
378,67093ff1,Out for Delivery,2025-04-23 06:00:00
379,67093ff1,Delivered,2025-04-23 13:00:00
380,9b09c740,Order Placed,2025-04-23 01:00:00
381,9b09c740,Picked Up,2025-04-24 00:00:00
382,9b09c740,In Transit,2025-04-26 00:00:00
383,9b09c740,Out for Delivery,2025-04-26 06:00:00
384,9b09c740,Delivered,2025-04-26 13:00:00
385,3c45c64c,Order Placed,2026-01-30 03:00:00
386,3c45c64c,Picked Up,2026-02-01 00:00:00
387,3c45c64c,In Transit,2026-02-03 00:00:00
388,210a78dd,Order Placed,2025-02-27 03:00:00
389,210a78dd,Picked Up,2025-02-28 00:00:00
390,210a78dd,In Transit,2025-03-02 00:00:00
391,210a78dd,Out for Delivery,2025-03-05 06:00:00
392,210a78dd,Delivered,2025-03-05 08:00:00
393,e1e1aab7,Order Placed,2025-05-11 02:00:00
394,e1e1aab7,Picked Up,2025-05-12 00:00:00
395,e1e1aab7,In Transit,2025-05-13 00:00:00
396,928513ee,Order Placed,2026-01-03 03:00:00
397,928513ee,Cancelled,2026-01-04 00:00:00
398,cc2684f2,Order Placed,2025-05-18 02:00:00
399,cc2684f2,Picked Up,2025-05-19 00:00:00
400,cc2684f2,In Transit,2025-05-21 00:00:00
401,9f559fe0,Order Placed,2025-07-25 04:00:00
402,9f559fe0,Picked Up,2025-07-26 00:00:00
403,5f2c1755,Order Placed,2025-05-09 02:00:00
404,5f2c1755,Cancelled,2025-05-12 00:00:00
405,06fb336a,Order Placed,2025-06-11 03:00:00
406,06fb336a,Cancelled,2025-06-12 00:00:00
407,1c1fd014,Order Placed,2025-12-08 01:00:00
408,1c1fd014,Picked Up,2025-12-10 00:00:00
409,1c1fd014,In Transit,2025-12-12 00:00:00
410,1c1fd014,Out for Delivery,2025-12-15 09:00:00
411,1c1fd014,Delivered,2025-12-15 14:00:00
412,4d684ea1,Order Placed,2025-04-10 02:00:00
413,4d684ea1,Picked Up,2025-04-11 00:00:00
414,1b827c8c,Order Placed,2025-06-09 04:00:00
415,1b827c8c,Picked Up,2025-06-11 00:00:00
416,1b827c8c,In Transit,2025-06-12 00:00:00
417,a0ec2a66,Order Placed,2025-03-26 02:00:00
418,a0ec2a66,Cancelled,2025-03-29 00:00:00
419,e4f19d56,Order Placed,2025-11-21 01:00:00
420,e4f19d56,Cancelled,2025-11-23 00:00:00
421,d6873442,Order Placed,2025-12-11 01:00:00
422,d6873442,Picked Up,2025-12-12 00:00:00
423,d6873442,In Transit,2025-12-13 00:00:00
424,d6873442,Out for Delivery,2025-12-15 10:00:00
425,d6873442,Delivered,2025-12-15 16:00:00
426,94be141b,Order Placed,2025-05-08 02:00:00
427,94be141b,Picked Up,2025-05-09 00:00:00
428,94be141b,In Transit,2025-05-10 00:00:00
429,40ffb5db,Order Placed,2025-10-23 02:00:00
430,40ffb5db,Picked Up,2025-10-25 00:00:00
431,de572b5f,Order Placed,2025-12-13 02:00:00
432,de572b5f,Picked Up,2025-12-14 00:00:00
433,bf01eca8,Order Placed,2026-01-05 02:00:00
434,bf01eca8,Picked Up,2026-01-06 00:00:00
435,9453b33c,Order Placed,2025-07-06 01:00:00
436,9453b33c,Picked Up,2025-07-08 00:00:00
437,9453b33c,In Transit,2025-07-09 00:00:00
438,a9dbf5f4,Order Placed,2025-12-14 03:00:00
439,a9dbf5f4,Picked Up,2025-12-16 00:00:00
440,1521da4b,Order Placed,2025-08-19 04:00:00
441,1521da4b,Cancelled,2025-08-21 00:00:00
442,457a513e,Order Placed,2025-09-24 01:00:00
443,457a513e,Picked Up,2025-09-25 00:00:00
444,457a513e,In Transit,2025-09-27 00:00:00
445,fb5188ee,Order Placed,2025-06-20 02:00:00
446,fb5188ee,Picked Up,2025-06-22 00:00:00
447,fb5188ee,In Transit,2025-06-24 00:00:00
448,fb5188ee,Out for Delivery,2025-06-27 07:00:00
449,fb5188ee,Delivered,2025-06-27 13:00:00
450,56f8907d,Order Placed,2026-01-02 04:00:00
451,56f8907d,Picked Up,2026-01-03 00:00:00
452,683c1095,Order Placed,2025-03-30 04:00:00
453,683c1095,Picked Up,2025-04-01 00:00:00
454,683c1095,In Transit,2025-04-02 00:00:00
455,683c1095,Out for Delivery,2025-04-03 08:00:00
456,683c1095,Delivered,2025-04-03 10:00:00
457,fd4cd4dc,Order Placed,2025-03-16 02:00:00
458,fd4cd4dc,Picked Up,2025-03-18 00:00:00
459,fd4cd4dc,In Transit,2025-03-20 00:00:00
460,433aa2a2,Order Placed,2025-07-02 04:00:00
461,433aa2a2,Picked Up,2025-07-04 00:00:00
462,433aa2a2,In Transit,2025-07-06 00:00:00
463,433aa2a2,Out for Delivery,2025-07-09 06:00:00
464,433aa2a2,Delivered,2025-07-09 09:00:00
465,b1a80cbe,Order Placed,2025-09-26 04:00:00
466,b1a80cbe,Picked Up,2025-09-28 00:00:00
467,447801bc,Order Placed,2025-11-25 03:00:00
468,447801bc,Picked Up,2025-11-27 00:00:00
469,447801bc,In Transit,2025-11-29 00:00:00
470,447801bc,Out for Delivery,2025-11-30 06:00:00
471,447801bc,Delivered,2025-11-30 10:00:00
472,0fda577c,Order Placed,2026-01-08 02:00:00
473,0fda577c,Cancelled,2026-01-10 00:00:00
474,a6f1d413,Order Placed,2025-07-29 01:00:00
475,a6f1d413,Cancelled,2025-07-31 00:00:00
476,584d73b3,Order Placed,2025-10-19 04:00:00
477,584d73b3,Cancelled,2025-10-21 00:00:00
478,9cb76c13,Order Placed,2025-03-20 02:00:00
479,9cb76c13,Cancelled,2025-03-21 00:00:00
480,0ac2982f,Order Placed,2025-02-24 03:00:00
481,0ac2982f,Picked Up,2025-02-25 00:00:00
482,0ac2982f,In Transit,2025-02-27 00:00:00
483,4606c3ef,Order Placed,2025-05-13 04:00:00
484,4606c3ef,Cancelled,2025-05-14 00:00:00
485,ab46d848,Order Placed,2026-02-09 01:00:00
486,ab46d848,Cancelled,2026-02-12 00:00:00
487,44711d35,Order Placed,2025-05-11 03:00:00
488,44711d35,Picked Up,2025-05-13 00:00:00
489,154d4df7,Order Placed,2025-08-17 02:00:00
490,154d4df7,Cancelled,2025-08-20 00:00:00
491,5400efac,Order Placed,2026-01-24 02:00:00
492,5400efac,Picked Up,2026-01-25 00:00:00
493,5400efac,In Transit,2026-01-26 00:00:00
494,5400efac,Out for Delivery,2026-01-27 06:00:00
495,5400efac,Delivered,2026-01-27 11:00:00
496,1f61527e,Order Placed,2025-12-24 03:00:00
497,1f61527e,Picked Up,2025-12-25 00:00:00
498,1f61527e,In Transit,2025-12-27 00:00:00
499,6e9bab33,Order Placed,2026-01-13 03:00:00
500,6e9bab33,Picked Up,2026-01-15 00:00:00
501,6e9bab33,In Transit,2026-01-17 00:00:00
502,6e9bab33,Out for Delivery,2026-01-16 06:00:00
503,6e9bab33,Delivered,2026-01-16 08:00:00
504,e6cc455a,Order Placed,2025-11-23 04:00:00
505,e6cc455a,Picked Up,2025-11-24 00:00:00
506,e6cc455a,In Transit,2025-11-26 00:00:00
507,e6cc455a,Out for Delivery,2025-11-29 08:00:00
508,e6cc455a,Delivered,2025-11-29 14:00:00
509,d8ed7057,Order Placed,2026-01-03 03:00:00
